cas,genre,type_article,terminaison_article,terminaison_adjectif
Nominativ,Maskulin,Bestimmt,der,-e
Nominativ,Feminin,Bestimmt,die,-e
Nominativ,Neutrum,Bestimmt,das,-e
Nominativ,Plural,Bestimmt,die,-en
Akkusativ,Maskulin,Bestimmt,den,-en
Akkusativ,Feminin,Bestimmt,die,-e
Akkusativ,Neutrum,Bestimmt,das,-e
Akkusativ,Plural,Bestimmt,die,-en
Dativ,Maskulin,Bestimmt,dem,-en
Dativ,Feminin,Bestimmt,der,-en
Dativ,Neutrum,Bestimmt,dem,-en
Dativ,Plural,Bestimmt,den,-en
Genitiv,Maskulin,Bestimmt,des,-en
Genitiv,Feminin,Bestimmt,der,-en
Genitiv,Neutrum,Bestimmt,des,-en
Genitiv,Plural,Bestimmt,der,-en
Nominativ,Maskulin,Unbestimmt,ein,-er
Nominativ,Feminin,Unbestimmt,eine,-e
Nominativ,Neutrum,Unbestimmt,ein,-es
Nominativ,Plural,Unbestimmt,keine,-en
Akkusativ,Maskulin,Unbestimmt,einen,-en
Akkusativ,Feminin,Unbestimmt,eine,-e
Akkusativ,Neutrum,Unbestimmt,ein,-es
Akkusativ,Plural,Unbestimmt,keine,-en
Dativ,Maskulin,Unbestimmt,einem,-en
Dativ,Feminin,Unbestimmt,einer,-en
Dativ,Neutrum,Unbestimmt,einem,-en
Dativ,Plural,Unbestimmt,keinen,-en
Genitiv,Maskulin,Unbestimmt,eines,-en
Genitiv,Feminin,Unbestimmt,einer,-en
Genitiv,Neutrum,Unbestimmt,eines,-en
Genitiv,Plural,Unbestimmt,keiner,-en
Nominativ,Maskulin,Ohne,,-er
Nominativ,Feminin,Ohne,,-e
Nominativ,Neutrum,Ohne,,-es
Nominativ,Plural,Ohne,,-e
Akkusativ,Maskulin,Ohne,,-en
Akkusativ,Feminin,Ohne,,-e
Akkusativ,Neutrum,Ohne,,-es
Akkusativ,Plural,Ohne,,-e
Dativ,Maskulin,Ohne,,-em
Dativ,Feminin,Ohne,,-er
Dativ,Neutrum,Ohne,,-em
Dativ,Plural,Ohne,,-en
Genitiv,Maskulin,Ohne,,-en
Genitiv,Feminin,Ohne,,-er
Genitiv,Neutrum,Ohne,,-en
Genitiv,Plural,Ohne,,-er
